Signature,Alternative signatures,Transliterated runic text,Translation to English,Found location,Parish,Municipality,District,Current location,Images,latitude,longitude
"Öl 11","","... ...ta · stiu(b) · (s)in · ha- ...","... ..., his/her step(-son). He ...","Alvlösa","Smedby sn","Mörbylånga","Gräsgårds hd","","http://kulturarvsdata.se/raa/kmb/html/16000300014049","56.420462","16.434456"
"Öl 12","B 1065;L 1316","[aynt--s · ... þina : eftiR · ketil · boþyr : sin · kuþ · h... ... ... ... kus · moþiR ·]","Eysteinn(?) ... (had) this (stone raised) in memory of Ketill, his brother. May God and God's mother help his spirit.","Smedby kyrkogård","Smedby sn","Mörbylånga","Gräsgårds hd","","","56.40717","16.432553"
"Öl 13","B 1070;L 1315","[...t... reisti : stein · (þ)ina × eftiR · styrkar · f(a)... ...]","... raised this stone in memory of Styrkárr, (his) father.","Södra Möckleby","Södra Möckleby sn","Mörbylånga","Gräsgårds hd","","","56.356734","16.421777"
"Öl 14","","[...(r) : sin : ste(i)... ...]","... his father/brother, Steinn ...","Södra Möckleby kyrkogård","Södra Möckleby sn","Mörbylånga","Gräsgårds hd","","","56.356547","16.421418"
"Öl 15","L 1314","[iliuri : raisti : stina : þinsi : iftiR : ... faþur : sin ... uikar : bruþur : sin :]","<iliuri> raised this stone in memory of ..., his father, ... Víkarr, his brother.","Södra Möckleby kyrkogård","Södra Möckleby sn","Mörbylånga","Gräsgårds hd","","","56.356547","16.421418"
"Öl 16","B 1058;L 1313","[... auk : treke : auk : sihstin : þiR bo^þuþr : ristu : sta(i)... ... : uifastr : kuþ : hialbi : au^nt : hans :]","... and Drengi and Sigsteinn, these brothers raised the stone (in memory of) Véfastr. May God help his spirit.","Gräsgårds kyrkogård","Gräsgårds sn","Mörbylånga","Gräsgårds hd","","","56.309566","16.50775"
"Öl 17","B 1062;L 1312","[× þurkuþr × raisti × stain × þenh × iftiR × inkialt × bruþur × sin ×]","Þorgunnr raised this stone in memory of Ingjaldr, her brother.","Seby","Segerstads sn","Mörbylånga","Gräsgårds hd","","","56.348758","16.533054"
"Öl 18","B 1061;L 1311","× inkialtr × auk × nifR × [au]k × su[i]n [× þa]iR × litu × risa ...- × iftiR × ruþmar × faþur × sin ×","Ingjaldr and Nefr and Sveinn, they had the [stone] raised in memory of Hróðmarr, their father.","Seby","Segerstads sn","Mörbylånga","Gräsgårds hd","","http://kulturarvsdata.se/raa/kmb/html/16000300014106;http://kulturarvsdata.se/raa/kmb/html/16000300014110;http://kulturarvsdata.se/raa/kmb/html/16000300014107;http://kulturarvsdata.se/raa/kmb/html/16000300014109;http://kulturarvsdata.se/raa/kmb/html/16000300014111;http://kulturarvsdata.se/raa/kmb/html/16000300014108;http://kulturarvsdata.se/raa/kmb/html/16000300014104;http://kulturarvsdata.se/raa/kmb/html/16000300014090;http://kulturarvsdata.se/raa/kmb/html/16000300014099;http://kulturarvsdata.se/raa/kmb/html/16000300014087;http://kulturarvsdata.se/raa/kmb/html/16000300014093;http://kulturarvsdata.se/raa/kmb/html/16000300014092;http://kulturarvsdata.se/raa/kmb/html/16000300014089;http://kulturarvsdata.se/raa/kmb/html/16000300014100;http://kulturarvsdata.se/raa/kmb/html/16000300014094;http://kulturarvsdata.se/raa/kmb/html/16000300014101;http://kulturarvsdata.se/raa/kmb/html/16000300014096;http://kulturarvsdata.se/raa/kmb/html/16000300014103;http://kulturarvsdata.se/raa/kmb/html/16000300014102;http://kulturarvsdata.se/raa/kmb/html/16000300014091;http://kulturarvsdata.se/raa/kmb/html/16000300014088;http://kulturarvsdata.se/raa/kmb/html/16000300014086;http://kulturarvsdata.se/raa/kmb/html/16000300014095;http://kulturarvsdata.se/raa/kmb/html/16000300028281;http://kulturarvsdata.se/raa/kmb/html/16000300028272;http://kulturarvsdata.se/raa/kmb/html/16000300028278;http://kulturarvsdata.se/raa/kmb/html/16000300028282;http://kulturarvsdata.se/raa/kmb/html/16000300028274;http://kulturarvsdata.se/raa/kmb/html/16000300028270;http://kulturarvsdata.se/raa/kmb/html/16000300028277;http://kulturarvsdata.se/raa/kmb/html/16000300028269;http://kulturarvsdata.se/raa/kmb/html/16000300028276;http://kulturarvsdata.se/raa/kmb/html/16000300028271;http://kulturarvsdata.se/raa/kmb/html/16000300028275;http://kulturarvsdata.se/raa/kmb/html/16000300028280;http://kulturarvsdata.se/raa/kmb/html/16000300028279;http://kulturarvsdata.se/raa/kmb/html/16000300028273;http://kulturarvsdata.se/raa/kmb/html/16000300031391","56.343525","16.530981"
"Öl 19","B 1069;L 1568","[estriþ × lit × raisa × stain × þina × iftiR × biurn × bounta × sin × kuþ × ialbi × has × sial ×]","Ástríðr had this stone raised in memory of Bjôrn, her husband. May God help his soul.","Hulterstads kyrka","Hulterstads sn","Mörbylånga","Möckleby hd","","","56.449398","16.567634"
"Öl 20","","[... ...þi kuntu sina ...]","... ... his(?) wife(?) ...","Hulterstads kyrkogård","Hulterstads sn","Mörbylånga","Möckleby hd","","","56.449398","16.567634"
"Öl 21","","... ...fr ' lit ' reisa ' steina ' efti- seuar ' faþur ' s-n ' goþan '","... ... had the stones raised in memory of Sævarr, his/her good father.","Hulterstads kyrkogård","Hulterstads sn","Mörbylånga","Möckleby hd","I vapenhuset.","http://kulturarvsdata.se/raa/kmb/html/16000300014064;http://kulturarvsdata.se/raa/kmb/html/16000300014057;http://kulturarvsdata.se/raa/kmb/html/16000300014059;http://kulturarvsdata.se/raa/kmb/html/16000300014056;http://kulturarvsdata.se/raa/kmb/html/16000300014061;http://kulturarvsdata.se/raa/kmb/html/16000300014058","56.449398","16.567634"
"Öl 22","","... ...na ' (þ)... [-]ftir + ...","... these stones in memory of ...","Hulterstads by","Hulterstads sn","Mörbylånga","Möckleby hd","I vapenhuset.","","56.446669","16.567352"
"Öl 23","B 1068;B 1075;L 1309","[kuþmuntr · auk × oskutr × auk × sibiurn × auk × kaiRbiurn × litu × raisa · stain · eftiR · byrkeR · faþur · sin hialbi · kuþ hans ant]","Guðmundr and Ásgautr and Sæbjôrn/Sigbjôrn and Geirbjôrn had the stone raised in memory of Borggeirr, their father. May God help his spirit.","Stenåsa kyrkogård","Stenåsa sn","Mörbylånga","Möckleby hd","","","56.514492","16.60055"
"Öl 24","L 1310","[...---- (i)--iR × otryk × br(u)... ... ...-þni × lit × raisa · aftiR · ...-n sin hi... ...]","... in memory of Ótryggr, (his) brother, ... Guðný(?) had (this stone) raised in memory of her son. May (God) help(?) ...","Stenåsa kyrkogård","Stenåsa sn","Mörbylånga","Möckleby hd","","","56.514492","16.60055"
"Öl 25","L 1308","[ioruik]r × riti × stain × efti × -r---... ...oþur × sin","Jôrundr(?) erected the stone in memory of ..., his brother.","Dröstorp","Sandby sn (nu Gårdby sn)","Mörbylånga","Möckleby hd","","http://kulturarvsdata.se/raa/kmb/html/16000300014112;http://kulturarvsdata.se/raa/kmb/html/16000300014117;http://kulturarvsdata.se/raa/kmb/html/16000300014114;http://kulturarvsdata.se/raa/kmb/html/16000300014116;http://kulturarvsdata.se/raa/kmb/html/16000300014115;http://kulturarvsdata.se/raa/kmb/html/16000300014113","56.594113","16.570883"
"Öl 26","B 1066;L 1586;L 1587","× kuþfastr × auk × helgun × auk × neniR × þaun myþkini × litu × reisa × stein × eftiR × suein × faþur","Guðfastr and Helgunnr and Nennir, they mother and sons, had the stone raised in memory of Sveinn, the father.","Sandby kyrkogård","Sandby sn","Mörbylånga","Möckleby hd","","http://kulturarvsdata.se/raa/kmb/html/16000300014052","56.580354","16.640871"
"Öl 27","B 1067","× þeiR bryþr × reistu × kubl × þia × eftiR × sustur ×× sina × afriþi × auk × eftR × suein × faþur × sin × koþan ×","These brothers raised these monuments in memory of their sister, Áfriðr, and in memory of Sveinn, their good father.","Sandby kyrkogård","Sandby sn","Mörbylånga","Möckleby hd","","http://kulturarvsdata.se/raa/kmb/html/16000300014051","56.580238","16.64082"
"Öl 28","L 1307","§P harþruþr + raisti + stain + þinsa + aiftiR + sun + sin + s(m)iþ + trak + kuþan + halfburin + bruþiR ans + sitr + kar¶þum ¶ brantr + rit - × iak þu raþa + khn §Q harþruþr + raisti + stain + þinsa + aiftiR + sun + sin + s(m)iþ + trak + kuþan + halfburin + bruþiR ans + sitr + kar¶þum ¶ brantr + rit - × iak þu raþa + khn","§P Herþrúðr raised this stone in memory of her son Smiðr, a good valiant man. Halfborinn, his brother, sits in Garðar (Russia). Brandr cut rightly, therefore (one) can interpret (the runes). §Q Herþrúðr raised this stone in memory of her son Smiðr, a good valiant man. His halfbrother Brandr sits in Garðir. Cut rightly into, therefore (one) can interpret (the runes).","Gårdby kyrkogård","Gårdby sn","Mörbylånga","Möckleby hd","","http://kulturarvsdata.se/raa/kmb/html/16000300013975;http://kulturarvsdata.se/raa/kmb/html/16000300013971;http://kulturarvsdata.se/raa/kmb/html/16000300013973;http://kulturarvsdata.se/raa/kmb/html/16000300013972;http://kulturarvsdata.se/raa/kmb/html/16000300013974","56.600549","16.637213"
"Öl 29","","[... ...ina × suni × arnki... ...]","... his sons, Arnkell ...","Gårdby kyrkogård","Gårdby sn","Mörbylånga","Möckleby hd","","","56.600651","16.636711"
"Öl 30","","[...----------... ¶ ...---------...]","... ...","Norra Möckleby kyrkogård","Norra Möckleby sn","Mörbylånga","Möckleby hd","","","56.64742","16.679145"
"Öl 31","B 1056;L 1303","auþbiarn : lit : reisa : stein : ...----... hialbi sialu · has","Auðbjôrn had the stone raised ... May (God) help his soul.","Runstens kyrka","Runstens sn","Borgholm","Runstens hd","","","56.699236","16.6999"
"Öl 32","","¬","¬","Runsten, Bjärby?","Runstens sn","Borgholm","Runstens hd","","","56.713544","16.70713"
"Öl 33","L 1304","[ubobb-... ¶ -f---... ¶ -u--... ¶ ...----------...]","... ... ... ...","Runstens kyrkoby","Runstens sn","Borgholm","Runstens hd","","","56.700797","16.697554"
"Öl 34","","[huør : søm : thæt·tæ : læs ¶ ta^næ : kirkia : hæta^r : ru^nastæ^n : ta^l : bø^r : so^cna:¶ha^ræ^n : ku^nnæ : ru^næ^r : læsæ : oc : s^crifuæ : hæc ¶ io : ola : calmarn]","Whosoever reads this: this church is called Rúnasteinn. This the parish rector ought to know, to read and write runes. Johannes Olai Calmarnensis (wrote) this.","Runstens kyrka","Runstens sn","Borgholm","Runstens hd","","","56.699277","16.699117"
"Öl 36","B 1055;B 1079;L 1306","× (h)[e]rfri[þ- ...-] × uiþbiurn × litu × raisa × stain × þina × at × fastulf × faþur sin ×× siklaug × lit × raisa aftiR : bunta × sin × han × iaR × krafin × i × kirikiu ×","Herfríðr/Herfreðr and Viðbjôrn had this stone raised in memory of Fastulfr, their father. Siglaug had (it) raised in memory of her husband. He is buried in the church.","Bjärby","Runstens sn","Borgholm","Runstens hd","","http://kulturarvsdata.se/raa/kmb/html/16000300014125;http://kulturarvsdata.se/raa/kmb/html/16000300014126","56.710907","16.705337"
"Öl 37","B 1054;L 1305","§P olafR × auk × kamal × auk × sagsi × raistu + stain × þina × aftiR × [un × faþur × sin × kai](R)ui lit × at × bonta × sin × hiarsu[k] kubl þsi fiaRun olafR hefnt[i at miomu ati un hiar hal](f)an by §Q olafR × auk × kamal × auk × sagsi × raistu + stain × þina × aftiR × [un × faþur × sin × kai](R)ui lit × at × bonta × sin × hiarsu[k] kubl þsi fiaRun olafR hefnt[i at miom| |mu ati un hiar hal](f)an by","§P Ólafr and Gamall and Saxi raised this stone in memory of Unn, their father. Geirvé had these monuments (raised) here in memory of her husbandman. Ólafr avenged Féar-Unn (Rich-Unn) at Mon(?). Unn owned here half the village. §Q Ólafr and Gamall and Saxi raised this stone in memory of Unn, their father. Geirvé had these monuments (raised) here in memory of her husbandman. Ólafr avenged Féar-Unn (Rich-Unn) in the middle of the heath(?). Unn owned here half the village.","Lerkaka","Runstens sn","Borgholm","Runstens hd","","http://kulturarvsdata.se/raa/kmb/html/16000300014147;http://kulturarvsdata.se/raa/kmb/html/16000300014148;http://kulturarvsdata.se/raa/kmb/html/16001000177804;http://kulturarvsdata.se/raa/kmb/html/16000300014146;http://kulturarvsdata.se/raa/kmb/html/16000300014128;http://kulturarvsdata.se/raa/kmb/html/16000300014144;http://kulturarvsdata.se/raa/kmb/html/16000300014136;http://kulturarvsdata.se/raa/kmb/html/16000300014129;http://kulturarvsdata.se/raa/kmb/html/16000300014134;http://kulturarvsdata.se/raa/kmb/html/16000300014137;http://kulturarvsdata.se/raa/kmb/html/16000300014135;http://kulturarvsdata.se/raa/kmb/html/16000300014141;http://kulturarvsdata.se/raa/kmb/html/16000300014127;http://kulturarvsdata.se/raa/kmb/html/16000300014131;http://kulturarvsdata.se/raa/kmb/html/16000300014133;http://kulturarvsdata.se/raa/kmb/html/16000300014138;http://kulturarvsdata.se/raa/kmb/html/16000300014142;http://kulturarvsdata.se/raa/kmb/html/16000300014132;http://kulturarvsdata.se/raa/kmb/html/16000300014145;http://kulturarvsdata.se/raa/kmb/html/16000300014140;http://kulturarvsdata.se/raa/kmb/html/16000300014130;http://kulturarvsdata.se/raa/kmb/html/16000300014143;http://kulturarvsdata.se/raa/kmb/html/16000300014139;http://kulturarvsdata.se/shm/media/html/24385;http://kulturarvsdata.se/raa/kmb/html/16000300028284;http://kulturarvsdata.se/raa/kmb/html/16000300028289;http://kulturarvsdata.se/raa/kmb/html/16000300028290;http://kulturarvsdata.se/raa/kmb/html/16000300028417;http://kulturarvsdata.se/raa/kmb/html/16000300028418;http://kulturarvsdata.se/raa/kmb/html/16000300028285;http://kulturarvsdata.se/raa/kmb/html/16000300028416;http://kulturarvsdata.se/raa/kmb/html/16000300028286;http://kulturarvsdata.se/raa/kmb/html/16000300028413;http://kulturarvsdata.se/raa/kmb/html/16000300028288;http://kulturarvsdata.se/raa/kmb/html/16000300028283;http://kulturarvsdata.se/raa/kmb/html/16000300028415;http://kulturarvsdata.se/raa/kmb/html/16000300028414;http://kulturarvsdata.se/raa/kmb/html/16000300028293","56.718602","16.709375"
"Öl 38","","... ...[-(þ)u]r sin kuþan","... his/her good father/brother.","Lerkaka","Runstens sn","Borgholm","Runstens hd","","http://kulturarvsdata.se/raa/kmb/html/16000300014150;http://kulturarvsdata.se/raa/kmb/html/16000300014149;http://kulturarvsdata.se/raa/kmb/html/16000300014151","56.720763","16.71222"
"Öl 39","B 1060;L 1301","× sua(i)(n) kiarþi × iftiR × sin × faþur × uikar × sun × ainiki × sialfR × raisti × stain ×","Sveinn made in memory of his father, Víkarr, the only son raised the stone himself.","Bägby bro","Gärdslösa sn","Borgholm","Runstens hd","","http://kulturarvsdata.se/raa/kmb/html/16000300014074;http://kulturarvsdata.se/raa/kmb/html/16000300014069;http://kulturarvsdata.se/raa/kmb/html/16000300014072;http://kulturarvsdata.se/raa/kmb/html/16000300014075;http://kulturarvsdata.se/raa/kmb/html/16000300014085;http://kulturarvsdata.se/raa/kmb/html/16000300014084;http://kulturarvsdata.se/raa/kmb/html/16000300014079;http://kulturarvsdata.se/raa/kmb/html/16000300014083;http://kulturarvsdata.se/raa/kmb/html/16000300014078;http://kulturarvsdata.se/raa/kmb/html/16000300014082;http://kulturarvsdata.se/raa/kmb/html/16000300014077;http://kulturarvsdata.se/raa/kmb/html/16000300014081","56.775198","16.741076"
"Öl 40","B 1059;L 1302","· kuþbratr auk suain raistu staina þina aftiR bruþr sina kuþa asualt auk h...f...","Guðbrandr and Sveinn raised these stones in memory of their good brothers Ásvaldr and ...","Bägby","Gärdslösa sn","Borgholm","Runstens hd","","http://kulturarvsdata.se/raa/kmb/html/16000300014071;http://kulturarvsdata.se/raa/kmb/html/16000300014073;http://kulturarvsdata.se/raa/kmb/html/16000300014070;http://kulturarvsdata.se/raa/kmb/html/16000300014076;http://kulturarvsdata.se/raa/kmb/html/16000300014080","56.775571","16.741576"
"Öl 41","B 1057;L 1300","[austain · auk · sahuatr · auk · aþuatr · litu · raisa · stain · þina · auk · bru · þsa · aftR · ayi · faþur · sin ul----]","Eysteinn and Sighvatr and Auðhvatr had this stone raised and this bridge (made) in memory of Ávir(?), their father ...","Bägby","Gärdslösa sn","Borgholm","Runstens hd","","","56.77009","16.739542"
"Öl 42","L 1299","[... þinsi · stain · iftir · suini · iairi...]","... this stone in memory of Sveini/Sveinir, ...","bron vid Gärdslösa kyrka","Gärdslösa sn","Borgholm","Runstens hd","Vid bron vid kyrkan.","","56.792361","16.738492"
"Öl 43","","kunbiarn : auk : su-... ... uk : [i(o)(h)]... ... ...rgil : faþur : sin : ... : goþan : g... ...tuar ris(t)[(i)] : runaR ... stain ...","Gunnbjôrn and Sveinn ... and Jóhan ... Þorkell(?), their very(?) good father, ... Oddvarr(?) carved the runes ... stone ...","Gärdslösa kyrka","Gärdslösa sn","Borgholm","Runstens hd","I tornrummet.","","56.79351","16.737375"
"Öl 44","","i... ...iþur : kuþ : hilbi : siflu hans lis : ... iki","... father. May God help his soul. Read ... Hail(?) (Mary)","Bo","Bredsätra sn (nu Bredsättra)","Borgholm","Runstens hd","Skedemosse, Köpings sn","http://kulturarvsdata.se/raa/kmb/html/16000300014065;http://kulturarvsdata.se/raa/kmb/html/16000300014067;http://kulturarvsdata.se/raa/kmb/html/16000300014068;http://kulturarvsdata.se/raa/kmb/html/16000300014066","56.833863","16.775876"
"Öl 45","L 1298","[...---þ----... ¶ ...luin--...]","... ...","Långbro","Räpplinge sn","Borgholm","Slättbo hd","","","56.838437","16.704721"
"Öl 46","B 1078;L 1297","þuriR : auk : þurstain auk : þurfastr · þaiR : bryþr : raistu : stain : at : kunfus : faþur : sin : kuþ : hialbi siul : hans","Þórir and Þorsteinn and Þorfastr, these brothers raised the stone in memory of Gunnfúss, their father. May God help his soul.","Tingsflisan","Köpings sn","Borgholm","Slättbo hd","","http://kulturarvsdata.se/raa/kmb/html/16000300014118;http://kulturarvsdata.se/raa/kmb/html/16000300014121;http://kulturarvsdata.se/raa/kmb/html/16000300014123;http://kulturarvsdata.se/raa/kmb/html/16000300014124;http://kulturarvsdata.se/raa/kmb/html/16000300014122","56.876528","16.721396"
"Öl 47","","askutr × auk × (þ)-... ... ...-R × ...r sin × (a)u...in","Ásgautr and ... ... in memory of their father(?), Eysteinn.","Köpings kyrkogård","Köpings sn","Borgholm","Slättbo hd","I vapenhuset.","","56.878121","16.718417"
"Öl 48","L 1294","§P ...u ist[in · -t · sun · sin] ... §Q ... uist[in · -t · sun · sin] ...","§P ... the stone in memory of his/her son ... §Q ... Vésteinn in memory of his son ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","Till vänster om sakristidörren.","","56.878097","16.719204"
"Öl 49","L 1296","[... -uk · (i)orkil · litu · rata · stin · aftR · asþrn · sustur · sina · auk · (a)-... ... · ----...]","... and Jórkell had the stone erected in memory of <asþrn>, their sister, and ... ... ...","Köpings kyrka","Köpings sn","Borgholm","Slättbo hd","","","56.878031","16.718464"
"Öl 51","","liti · kuþ · sau... ... -...ratis","May God relieve (his) soul ... paradise.","Köpings kyrkogård","Köpings sn","Borgholm","Slättbo hd","I tornet.","","56.878094","16.718433"
"Öl 52","","... × kumbl × aiftiR ... ...-str auk × s...-ta × ...","... the monument(s) in memory of ... Christ and Saint ...","Köpings kyrkogård","Köpings sn","Borgholm","Slättbo hd","SHM (25339:1, 15893:1) deponerad i vapenhuset.","","56.878121","16.718417"
"Öl 53","","+ þer ÷ liker ÷ æln ÷ siata · totiR +","There lies Elín, Sétti's daughter.","Alböke kyrkogård","Alböke sn","Borgholm","Slättbo hd","Kalmar slott","","56.947582","16.784084"
"Öl 55","L 1293","[... ...uk × biurn × risu × kik × at aþ-aui × ...stal × -a-...]","... and Bjôrn raised me(?) in memory of ...-vé(?), ... ...","Högby kyrka","Högby sn","Borgholm","Åkerbo hd","","","57.164408","17.016248"
"Öl 56","B 1077;L 1291","esbiarn × auk × roþbiarn × let[u × reta × ... × uef--a-- × fa... ... koþan × auk × e]ftiR × þorbiarn [× broþur · sin · k]oþan ¶ [auk × kuþlauk eftiR]","Ásbjôrn and Hróðbjôrn had (the stone) erected ... <uef--a-->, their good father, and in memory of Þorbjôrn, their good brother, and Guðlaug in memory of (him).","Källa ödekyrka","Källa sn","Borgholm","Åkerbo hd","2 fragment på Kalmar läns museum (KLM 45211:1-2), ett i sakristian (SHM 29400:V:19).","http://kulturarvsdata.se/raa/kmb/html/16000300014153;http://kulturarvsdata.se/raa/kmb/html/16000300014152","57.111454","16.986693"
"Öl 57","L 1292;L 1567","[...--- + rn--a]","... ...","Källa ödekyrka","Källa sn","Borgholm","Åkerbo hd","","","57.111454","16.986693"
"Öl 58","","[...]","...","Böda kyrka","Böda sn","Borgholm","Åkerbo hd","","","57.244539","17.059457"
"Öl 59","L 1321;L 1322","[... auk × ...]","... and ...","Resmo kyrka","Resmo sn","Mörbylånga","Algutsrums hd","","","56.54135","16.443755"
"Öl ACTARC37;211","","§A nþu(t)^s- §B þ-...-ola^un","§A ... §B ...","Eketorp","Gräsgårds sn","Mörbylånga","Gräsgårds hd","SHM (31597:P17:113)","","56.29555","16.486174"
"Öl ATA430/37;16","","... : hialbi : a(n)... ...","... may (God) help (his) spirit.","Resmo kyrka","Resmo sn","Mörbylånga","Algutsrums hd","","","56.543064","16.449279"
"Öl ATA4684/43A","","...a ' eftir ' eystei- boda ' sin ' kor-... ...","... in memory of Eysteinn, her husbandman. Korpr ...","Hulterstads kyrkogård","Hulterstads sn","Mörbylånga","Möckleby hd","I vapenhuset, stulen.","","56.449398","16.567634"
"Öl ATA4684/43B","","gyþa ' lit ' re... ...","Gyða had (this stone) raised ...","Hulterstads kyrkogård","Hulterstads sn","Mörbylånga","Möckleby hd","I vapenhuset.","","56.449398","16.567634"
"Öl ATA4684/43C","","... ...tiR ' sa-... ...a... ... guþa guþ hi... ant -...","... in memory of ... ... ... May God help (his/her) spirit ...","Hulterstads kyrkogård","Hulterstads sn","Mörbylånga","Möckleby hd","I tornkammaren.","","56.449398","16.567634"
"Öl ATA4684/43D","","...r...","...","Hulterstads kyrkogård","Hulterstads sn","Mörbylånga","Möckleby hd","I tornkammaren.","","56.449398","16.567634"
"Öl ATA4684/43E","","...- saR × ris(t)... ...","... he(?) raised/carved ...","Hulterstads prästgård","Hulterstads sn","Mörbylånga","Möckleby hd","I tornkammaren.","","56.448816","16.583206"
